Issue id	Summary
53621	NullPointerException because of missing ltiToolValues LTI_TITLE
31854	Reimplement memberships synchronisation as an administrator triggered operation
45084	"If you get a form validation on adding question pools, stack trace results"
57959	Demo version needs a site to support large numbers of participants
45078	Question directions related to several questions.
36277	Setting a default.copyright property has no effect
27430	Create new tables MFR_TOPIC_OPEN_FORUM_T and MFR_TOPIC_PRIVATE_FORUM_T to avoid null scans
27428	Include image in exported assessments
57935	Extra Permissions to hide or show the different site Info buttons with more granularity that the actual permissions do.
53649	Note on Gradebook / Lessons interaction
22911	"AnnouncementComparator is not transitive, can throw error with TimSort"
62202	Can't click on student's name in forums if it contains an apostraphe PATCH PROVIDED
40648	"SAKAI 10.5, after i linked BigBlueButton (ie Meeting) whenever i shutdown and start tomcat server, the whole sakai get reseted all my user and workspace "
31777	How to post a public announcement in sakai cle 2.9.1
31773	Messages Read -> Date leads instructors to believe it is message read date instead of topic posted date
27418	roster2 tool doesn't work for IE
22906	"Resource tool, uploading file a large file, the cancel button does not work"
31765	Job to publish and unpublish sites based on a site property
49307	Questions with dollar sign symbol fails to provide downloadable pdf
31823	Ambiguous Visual Cue Upon Score Adjustment
49303	Inappropriate use of System.out.println
27395	Exporting multiple files
45083	help.hide property no longer works as expected
36223	Insert in assignments interface that max size for submitted file is 20 Mb
62195	Add option to show the Read count in Forum messages
19638	Extend the Mneme Entity Broker Feed to include direct assessment Url
19119	Add a direct link to Canvas from within CTools
36216	Could not open the portal page after completing the installations
22920	Change HTML warning popup box to be more of a notice than a warning
49288	Some site language settings break SiteStats reports
45071	Maintain submission history for assignments that includes submission contents
36210	"Rename ""Page Order"" to something that better belies what it does"
